hash,source,init,data,
CB6688F9,CRC2,FFFFFFFF,"nHmAction::Wp10::cAirDiveClawLand",
D1B3B35C,CRC2,FFFFFFFF,"nHmAction::Wp10::cAirDiveClawStick",
8911BD8F,CRC2,FFFFFFFF,"nHmAction::Wp10::cActClawAttackLower",
4E277B58,CRC2,FFFFFFFF,"nHmAction::Wp10::cActWpOnSlingerAim",
B3B24386,CRC2,FFFFFFFF,"nHmAction::Wp10::cActWpOnSlingerAimFromShot",
FB72DC39,CRC2,FFFFFFFF,"nHmAction::Wp10::cActWpOnSlingerShot",
3015ADB,CRC2,FFFFFFFF,"nHmAction::Wp10::cActWpOnSlingerShotReload",
CC9EC653,CRC2,FFFFFFFF,"nHmAction::Wp10::cActWpOnSlingerAimEnd",
69F7FBA4,CRC2,FFFFFFFF,"nHmAction::Wp10::cActWpOnSlingerShotLower",
115B7479,CRC2,FFFFFFFF,"nHmAction::Wp10::cActWpOnSlingerAimWalk",
2B3ACB03,CRC2,FFFFFFFF,"nHmAction::Wp10::cActWpOnSlingerAimWalkEnd",
823D5B14,CRC2,FFFFFFFF,"nHmAction::Wp10::cAirDiveInsectAttack",
FFBA0ED1,CRC2,FFFFFFFF,"nHmAction::Wp10::cAirDiveInsectAttackLand",
AE0706A0,CRC2,FFFFFFFF,"nHmAction::Wp10::cFeed",
C92AF9B4,CRC2,FFFFFFFF,"nHmAction::Wp10::cActClawStickAttack",
F13AA930,CRC2,FFFFFFFF,"nHmAction::Wp10::cClawStickAttackLand",
1F5B7269,CRC2,FFFFFFFF,"nHmAction::Wp11::cWpOn",
5879CCEB,CRC2,FFFFFFFF,"nHmAction::Wp11::cWpOff",
92ADA291,CRC2,FFFFFFFF,"nHmAction::Wp11::cWalkWpOn",
EB924015,CRC2,FFFFFFFF,"nHmAction::Wp11::cWalkWpOff",
9039E53E,CRC2,FFFFFFFF,"nHmAction::Wp11::cSpOn",
2A1F6575,CRC2,FFFFFFFF,"nHmAction::Wp11::cSlidingWpOn",
A57DF222,CRC2,FFFFFFFF,"nHmAction::Wp11::cSlidingSpOn",
918463AE,CRC2,FFFFFFFF,"nHmAction::Wp11::cRideOn",
F4BA75BF,CRC2,FFFFFFFF,"nHmAction::Wp11::cRideChargeStart",
644A998,CRC2,FFFFFFFF,"nHmAction::Wp11::cRideChargeLoop",
11E64A9,CRC2,FFFFFFFF,"nHmAction::Wp11::cRideShoot",
9DC9F780,CRC2,FFFFFFFF,"nHmAction::Wp11::cIdle",
CC7C38C0,CRC2,FFFFFFFF,"nHmAction::Wp11::cWalk",
1873BB23,CRC2,FFFFFFFF,"nHmAction::Wp11::cWalkEnd",
DA9CED70,CRC2,FFFFFFFF,"nHmAction::Wp11::cDodgeToMove",
1582CF4F,CRC2,FFFFFFFF,"nHmAction::Wp11::cDodgeToTurn",
5D6A4FBE,CRC2,FFFFFFFF,"nHmAction::Wp11::cStepS",
A76572DD,CRC2,FFFFFFFF,"nHmAction::Wp11::cStepM",
D062424B,CRC2,FFFFFFFF,"nHmAction::Wp11::cStepL",
C6E6EB06,CRC2,FFFFFFFF,"nHmAction::Wp11::cAirStep",
C349AF8A,CRC2,FFFFFFFF,"nHmAction::Wp11::cDodge",
253630B6,CRC2,FFFFFFFF,"nHmAction::Wp11::cDodgeStraight",
B1D9A55A,CRC2,FFFFFFFF,"nHmAction::Wp11::cDodgeStep",
BBCBA07C,CRC2,FFFFFFFF,"nHmAction::Wp11::cAimIdle",
EA7E6F3C,CRC2,FFFFFFFF,"nHmAction::Wp11::cAimWalk",
BF599B0E,CRC2,FFFFFFFF,"nHmAction::Wp11::cAimWalkEnd",
FF7A8ACA,CRC2,FFFFFFFF,"nHmAction::Wp11::cAimToIdle",
A204ECC1,CRC2,FFFFFFFF,"nHmAction::Wp11::cIdleToCharge",
B2AF41DB,CRC2,FFFFFFFF,"nHmAction::Wp11::cMoveToCharge",
CB31C41E,CRC2,FFFFFFFF,"nHmAction::Wp11::cChargeIdle",
9A840B5E,CRC2,FFFFFFFF,"nHmAction::Wp11::cChargeWalk",
A8F33191,CRC2,FFFFFFFF,"nHmAction::Wp11::cChargeWalkEnd",
BABD9D99,CRC2,FFFFFFFF,"nHmAction::Wp11::cFall",
EC45AE07,CRC2,FFFFFFFF,"nHmAction::Wp11::cChargeFall",
C12456EB,CRC2,FFFFFFFF,"nHmAction::Wp11::cChargeJumpDodge",
5A4A1405,CRC2,FFFFFFFF,"nHmAction::Wp11::cShootNormal",
6DB7C181,CRC2,FFFFFFFF,"nHmAction::Wp11::cShootGosya",
17028EF3,CRC2,FFFFFFFF,"nHmAction::Wp11::cShootKyokusya",
C1E33B4B,CRC2,FFFFFFFF,"nHmAction::Wp11::cShootKonshinReady",
EF724886,CRC2,FFFFFFFF,"nHmAction::Wp11::cShootKonshin",
FCFA213B,CRC2,FFFFFFFF,"nHmAction::Wp11::cShootQuick",
37553F3E,CRC2,FFFFFFFF,"nHmAction::Wp11::cShootKyokusyaAimIdle",
5CC60906,CRC2,FFFFFFFF,"nHmAction::Wp11::cAirCharge",
4589FAE0,CRC2,FFFFFFFF,"nHmAction::Wp11::cAirChargeFromLoop",
64CF9594,CRC2,FFFFFFFF,"nHmAction::Wp11::cAirShoot",
D8FA2A,CRC2,FFFFFFFF,"nHmAction::Wp11::cStrike1",
99D1AB90,CRC2,FFFFFFFF,"nHmAction::Wp11::cStrike2",
B034310C,CRC2,FFFFFFFF,"nHmAction::Wp11::cJumpStab",
46A8AF2,CRC2,FFFFFFFF,"nHmAction::Wp11::cAirStrike",
9FB73AA6,CRC2,FFFFFFFF,"nHmAction::Wp11::cLandAirStrike",
54AC8F37,CRC2,FFFFFFFF,"nHmAction::Wp11::cChargeStep",
5994BB8,CRC2,FFFFFFFF,"nHmAction::Wp11::cChargeStepBack",
12306DE7,CRC2,FFFFFFFF,"nHmAction::Wp11::cChargeStepLeft",
1BA753A2,CRC2,FFFFFFFF,"nHmAction::Wp11::cChargeStepRight",
C47B33E7,CRC2,FFFFFFFF,"nHmAction::Wp11::cChargingLand",
8D2D4F23,CRC2,FFFFFFFF,"nHmAction::Wp11::cBottleCharge",
C146712C,CRC2,FFFFFFFF,"nHmAction::Wp11::cWallClimbClimb",
4EF9F9F4,CRC2,FFFFFFFF,"nHmAction::Wp11::cWallClimbJump",
414A2A3A,CRC2,FFFFFFFF,"nHmAction::Wp11::cWallClimbLand",
9E39D94F,CRC2,FFFFFFFF,"nHmAction::Wp11::cActClawAttackLower",
D1FDF8C6,CRC2,FFFFFFFF,"nHmAction::Wp11::cActWpOnSlingerAim",
D0B59AA2,CRC2,FFFFFFFF,"nHmAction::Wp11::cActWpOnSlingerAimFromShot",
70170BE8,CRC2,FFFFFFFF,"nHmAction::Wp11::cActWpOnSlingerAimFromChageStep",
EC5AB8F9,CRC2,FFFFFFFF,"nHmAction::Wp11::cActWpOnSlingerShot",
2B4A7C6,CRC2,FFFFFFFF,"nHmAction::Wp11::cActWpOnSlingerShotReload",
4DBBA374,CRC2,FFFFFFFF,"nHmAction::Wp11::cActWpOnSlingerAimEnd",
77BE0E5,CRC2,FFFFFFFF,"nHmAction::Wp11::cActWpOnSlingerShotLower",
B4D0E477,CRC2,FFFFFFFF,"nHmAction::Wp11::cActWpOnSlingerAimWalk",
2A8F361E,CRC2,FFFFFFFF,"nHmAction::Wp11::cActWpOnSlingerAimWalkEnd",
640EF70D,CRC2,FFFFFFFF,"nHmAction::Wp11::cActClawStickAttackJump",
BCE47265,CRC2,FFFFFFFF,"nHmAction::Wp11::cAirChargeFromStickAttack",
4403A4B1,CRC2,FFFFFFFF,"nHmAction::Wp11::cAirShootFromStickAttack",
A13A2F6A,CRC2,FFFFFFFF,"nHmAction::Wp11::cExSlingerTwinShotPre",
9FF09FE9,CRC2,FFFFFFFF,"nHmAction::Wp11::cExSlingerTwinShot",
60782DE5,CRC2,FFFFFFFF,"nHmAction::Wp11::cEmStickAttackLand",
7457167C,CRC2,FFFFFFFF,"nHmAction::Wp11::cEmStickAttackChargeLand",
8D1E30A,CRC2,FFFFFFFF,"nHmAction::Wp11::cEmStickAttackShootLand",
5C624C63,CRC2,FFFFFFFF,"nHmAction::Wp11::cActWpOnStepSide",
122D96E1,CRC2,FFFFFFFF,"nHmAction::Wp11::cActWpOnStepBack",
8919AC76,CRC2,FFFFFFFF,"cAimMotion",
1346F063,CRC2,FFFFFFFF,"nHmAction::Wp12::cIdle",
42F33F23,CRC2,FFFFFFFF,"nHmAction::Wp12::cWalk",
8191DD22,CRC2,FFFFFFFF,"nHmAction::Wp12::cWalkEnd",
9BA555DA,CRC2,FFFFFFFF,"nHmAction::Wp12::cWalkTurn",
61F4F02E,CRC2,FFFFFFFF,"nHmAction::Wp12::cWpOff",
E5337061,CRC2,FFFFFFFF,"nHmAction::Wp12::cWalkWpOn",
56582CDB,CRC2,FFFFFFFF,"nHmAction::Wp12::cWalkWpOff",
3B620F0C,CRC2,FFFFFFFF,"nHmAction::Wp12::cSlidingWpOn",
437AD405,CRC2,FFFFFFFF,"nHmAction::Wp12::cSlidingContinue",
D5F7BF34,CRC2,FFFFFFFF,"nHmAction::Wp12::cSlidingToWalk",
6B7075CF,CRC2,FFFFFFFF,"nHmAction::Wp12::cSlidingEnd",
15BE0F78,CRC2,FFFFFFFF,"nHmAction::Wp12::cIdleToAim",
42B0E604,CRC2,FFFFFFFF,"nHmAction::Wp12::cAimToIdle",
2229C67D,CRC2,FFFFFFFF,"nHmAction::Wp12::cAimIdle",
739C093D,CRC2,FFFFFFFF,"nHmAction::Wp12::cAimWalk",
C338BED5,CRC2,FFFFFFFF,"nHmAction::Wp12::cAimWalkEnd",
91D4758A,CRC2,FFFFFFFF,"nHmAction::Wp12::cWpOn",
5F048D07,CRC2,FFFFFFFF,"nHmAction::Wp12::cAirStep",
3E25E009,CRC2,FFFFFFFF,"nHmAction::Wp12::cJumpAttack",
A2146B41,CRC2,FFFFFFFF,"nHmAction::Wp12::cJumpAttackReload",
EBB69089,CRC2,FFFFFFFF,"nHmAction::Wp12::cLandFromJumpAttack",
D4F3B3DB,CRC2,FFFFFFFF,"nHmAction::Wp12::cLandFromJumpAttackReloading",
4E39F16,CRC2,FFFFFFFF,"nHmAction::Wp12::cLandFromJumpAttackReloaded",
8F1EC9C9,CRC2,FFFFFFFF,"nHmAction::Wp12::cDodgeBase",
FAC4934F,CRC2,FFFFFFFF,"nHmAction::Wp12::cDodge",
B490570C,CRC2,FFFFFFFF,"nHmAction::Wp12::cExDodge",
6579ED48,CRC2,FFFFFFFF,"nHmAction::Wp12::cExDodgeLeft",
5DB9A45B,CRC2,FFFFFFFF,"nHmAction::Wp12::cExDodgeRight",
72D0CB17,CRC2,FFFFFFFF,"nHmAction::Wp12::cExDodgeBack",
551112DB,CRC2,FFFFFFFF,"nHmAction::Wp12::cDodgeToAim",
566BCAA1,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootRecoil",
9012A1A5,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootRapidMiddle",
CEF9C3DC,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootRapidHigh",
FFEC91C,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootDragonIdle",
4D6A3F2C,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootDragon",
904E43D1,CRC2,FFFFFFFF,"nHmAction::Wp12::cIdleToMortar",
D039CC9D,CRC2,FFFFFFFF,"nHmAction::Wp12::cMortarToIdle",
9961E89C,CRC2,FFFFFFFF,"nHmAction::Wp12::cMortarToIdleReload",
588517C2,CRC2,FFFFFFFF,"nHmAction::Wp12::cMortarIdle",
245BA94E,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootMortar",
43C34E3E,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootMortarMiddle",
B85DBDD8,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootMortarHigh",
CC85569E,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootMortarQuick",
A743DBF8,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootMortarMiddleQuick",
94C1FD42,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootMortarHighQuick",
A2F6349C,CRC2,FFFFFFFF,"nHmAction::Wp12::cMortarEmpty",
64C82AC0,CRC2,FFFFFFFF,"nHmAction::Wp12::cIdleToSitAim",
F66E3A74,CRC2,FFFFFFFF,"nHmAction::Wp12::cSitAimToIdle",
202FDE5F,CRC2,FFFFFFFF,"nHmAction::Wp12::cSitAimIdle",
D0DDC05F,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootSitAim",
424313AE,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootSitAimQuick",
9388BC39,CRC2,FFFFFFFF,"nHmAction::Wp12::cShootSitAimEnd",
465B1A91,CRC2,FFFFFFFF,"nHmAction::Wp12::cJumpShoot",
5ED8DBEB,CRC2,FFFFFFFF,"nHmAction::Wp12::cJumpEmpty",
9CB278A7,CRC2,FFFFFFFF,"nHmAction::Wp12::cReload",
A627F387,CRC2,FFFFFFFF,"nHmAction::Wp12::cReloadMiddle",
D5679F76,CRC2,FFFFFFFF,"nHmAction::Wp12::cReloadHigh",
785C0EEC,CRC2,FFFFFFFF,"nHmAction::Wp12::cNormalToSpecial",
33CD9132,CRC2,FFFFFFFF,"nHmAction::Wp12::cStrike",
7AB3D8AD,CRC2,FFFFFFFF,"nHmAction::Wp12::cRideOn",
FA990D64,CRC2,FFFFFFFF,"nHmAction::Wp12::cRideCancelAttack",
A741740F,CRC2,FFFFFFFF,"nHmAction::Wp12::cActClawAttackLower",
AAE37A25,CRC2,FFFFFFFF,"nHmAction::Wp12::cActWpOnSlingerAim",
75BDF1CE,CRC2,FFFFFFFF,"nHmAction::Wp12::cActWpOnSlingerAimFromShot",
D52215B9,CRC2,FFFFFFFF,"nHmAction::Wp12::cActWpOnSlingerShot",
6AA0E1,CRC2,FFFFFFFF,"nHmAction::Wp12::cActWpOnSlingerShotReload",
15A50A5C,CRC2,FFFFFFFF,"nHmAction::Wp12::cActWpOnSlingerAimEnd",
B4EFCD26,CRC2,FFFFFFFF,"nHmAction::Wp12::cActWpOnSlingerShotLower",
813D5224,CRC2,FFFFFFFF,"nHmAction::Wp12::cActWpOnSlingerAimWalk",
28513139,CRC2,FFFFFFFF,"nHmAction::Wp12::cActWpOnSlingerAimWalkEnd",
E77A3034,CRC2,FFFFFFFF,"nHmAction::Wp12::cActClawStickAttack",
99EAC93B,CRC2,FFFFFFFF,"nHmAction::Wp12::cActClawStickAttackLand",
400D012F,CRC2,FFFFFFFF,"nHmAction::Wp12::cActWpOnChangeScopeMode",
37D7F802,CRC2,FFFFFFFF,"nHmAction::Wp12::cActWpOffChangeScopeMode",
DFECF0FD,CRC2,FFFFFFFF,"nHmAction::Wp13::cIdle",
8E593FBD,CRC2,FFFFFFFF,"nHmAction::Wp13::cWalk",
401F02E2,CRC2,FFFFFFFF,"nHmAction::Wp13::cWalkEnd",
